LookupString,Latitude,Longitude,GeoName
"Veracruz, Panuco Town, Mexico",22.0563024,-98.18282,"Pánuco, Veracruz de Ignacio de la Llave, 93990, México"
"Oaxaca, Lieza, Mexico",16.648056,-97.509722,"Piedra Liza, Santiago Amoltepec, Oaxaca, México"
"Sonora, Mazatan, Mexico",29.0055376,-110.1392032,"Mazatán, Sonora, México"
"Oaxaca, Tehuantepec Area, Mexico",16.3224801,-95.2509834,"Calle Oaxaca, El Cairo, Santo Domingo Tehuantepec, Oaxaca, México"
"Terrango, Mexico",0,0,
"Saltillo, Mexico",25.4230425,-100.9927509,"Saltillo, Coahuila de Zaragoza, 25000, México"
"Colima, Manzanillo, Salagoa, Playa De Los Monos, Mexico",0,0,
"Guerrero, Acapulco, San Geronimo, Mexico",0,0,
"Totonicapán, Totonicapán, Guatemala",14.911838,-91.3599703,"Totonicapán, Guatemala"
"Highlands Of Costa Rica, Curridabat, Costa Rica",0,0,
"Sonora, Santa Cruz, Mexico",18.1455031,-94.4457764,"Sonora, Petrolera, Coatzacoalcos, Veracruz de Ignacio de la Llave, 96500, México"
"Morelos, Below Tezpoteco, Tepoztlan, Mexico",0,0,
"Punta Gorda, Belize",16.09929985,-88.81032736769335,"Punta Gorda, Punta Gorda Town, Toledo District, Toledo, Belize"
"Sinaloa, Guasave, Mexico",25.5523481,-108.455279,"Sinaloa, La Florida, Guasave, Sinaloa, 81040, México"
"Alta Verapaz, Cobán, Guatemala",15.4755348,-90.37576389134472,"Parque Natural Monumento a la Paz de Guatemala, zona 1, Cobán, Alta Verapaz, Guatemala"
"Oaxaca, Quiengola, Mexico",16.9536548,-96.7460001,"Calle Quiengola, Barrio del Niño (2a. Sección), Villa de Zaachila, Oaxaca, 71313, México"
"Nayarít, Pueblo Of Guadalupe Ocotan, Mexico",0,0,
"Oaxaca, Pariales, Mexico",0,0,
"Ruins Of San Juan Teotihuacan, Mexico",0,0,
"Madden Lakes Area, Panama",0,0,
"San Simón Tornaguac, Mexico",0,0,
"Veracruz, Campoalla, Mexico",0,0,
"Puebla, Mexico",18.833333,-98.0,"Puebla, México"
"San Juanico, Mexico",26.2560372,-112.4791733,"San Juanico, Comondú, Baja California Sur, México"
"Maranones Creek, Honduras",0,0,
"Nayarít, Tepic, Mexico",21.4908907,-104.8746519,"Nayarit, Cuatro Milpas, Tepic, Municipio de Tepic, Nayarit, 63180, México"
"El Peten, Flores, Guatemala",16.96421335,-89.89815432372879,"Lago Petén Itzá, Carretera Flores - Melchor, La Polvora, Melchor de Mencos, Petén, 17011, Guatemala"
"Queretaro, Mexico",20.8542575,-99.84756,"Querétaro, México"
"Oaxaca, San Mateo Del Mar, Mexico",16.2103756,-94.9822045,"San Mateo del Mar, Oaxaca, México"
"Uloa Valley, Travesia, Honduras",0,0,
"Guanajuato, Chupicuaro, Mexico",20.0682728,-100.6921902,"Chupícuaro, Acámbaro, Guanajuato, 38750, México"
"Guerrero, Acapulco, Tambuco, Mexico",16.8346329,-99.9090336,"Tambuco, Fracc. Vista del Mar, Acapulco, Acapulco de Juárez, Guerrero, 39300, México"
"Oaxaca, Tehuantepec, Mexico",16.2161458,-95.1972137,"Tehuantepec, Colonia Granadillo, Salina Cruz, Oaxaca, 70613, México"
"Michoacán, Patzcuaro, Mexico",19.5136796,-101.6099596,"Pátzcuaro, Michoacán de Ocampo, 61600, México"
"Michoacán, Paracho, Mexico",19.6465929,-102.0480857,"Paracho de Verduzco, Paracho, Michoacán de Ocampo, 61250, México"
"Veracruz, Tajin, Mexico",20.2717732,-97.3341833,"Veracruz, Paso de Valencia, Terrenos de la Ex-hacienda ""San Miguel del Rincón"", Papantla, Veracruz de Ignacio de la Llave, 93542, México"
"Oaxaca, Zaachila, Mexico",16.950833,-96.749167,"Villa de Zaachila, Oaxaca, 71313, México"
"Michoacán, Zacapú, Mexico",19.8184055,-101.7925083,"Zacapu, Michoacán de Ocampo, 58600, México"
"Jalisco, Zapotlán, Mexico",20.4683607,-102.9278036,"Jalisco, La Colonia, Zapotlán del Rey, Jalisco, 45997, México"
"Chiapas, Palenque, Mexico",17.5069182,-91.9783911,"Chiapas, El Panchán, Palenque, Chiapas, 29960, México"
"Queretaro, Tequisquiapan, Mexico",20.6223414,-100.19326138830405,"Aeropuerto Intercontinental de Queretaro, Querétaro - Tequisquiapan, San José Navajas, El Marqués, Querétaro, México"
"Teotihuacan, Cerro Gordo, Rancheria Cosotlan, Mexico",0,0,
"Oaxaca, Tehuantepec, Cerro De Santa Maria, Mexico",0,0,
"Tlatilco, Mexico",25.8338834,-97.4536706,"Tlatilco, Matamoros, Tamaulipas, 8765, México"
