Id,Acquisition Year,Acquisition Type,Latitude,Longitude,Country,Locale
1 / 6743,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6744,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6745,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6746,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6747 A,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6747 B,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6748 A,1903,Gift,15.414999,-61.370976,Dominica,
1 / 6748 B,1903,Gift,15.414999,-61.370976,Dominica,
12 / 2,1880,Gift,23.634501,-102.552784,Mexico,
12 / 9,,,23.634501,-102.552784,Mexico,Texcoco
12 / 16,1880,Gift,23.634501,-102.552784,Mexico,
12 / 24,1880,Gift,23.634501,-102.552784,Mexico,San Luis Potosi
12 / 42,1880,Gift,0,0,,
17 / 180,,,14.641528,-61.024174,Martinique,
2 / 11,1880,Purchase,0,0,,
2 / 12,1880,Purchase,0,0,,
2 / 3620,1880,Purchase,23.634501,-102.552784,Mexico,
2 / 5308,1880,Purchase,23.634501,-102.552784,Mexico,
2 / 5313,1880,Purchase,23.634501,-102.552784,Mexico,
2 / 5314,1880,Purchase,23.634501,-102.552784,Mexico,
2 / 5315,1880,Purchase,23.634501,-102.552784,Mexico,
2 / 5317,1880,Purchase,23.634501,-102.552784,Mexico,
2 / 5319,1880,Purchase,23.634501,-102.552784,Mexico,
25.0/ 1039,1908,Gift,21.521757,-77.781167,Cuba,
25.0/ 1040,1908,Gift,21.521757,-77.781167,Cuba,
25.0/ 1041,1908,Gift,21.521757,-77.781167,Cuba,
25.0/ 1042,1908,Gift,21.521757,-77.781167,Cuba,
25.0/ 1043,1908,Gift,21.521757,-77.781167,Cuba,
25.0/ 2261,1917,Gift,21.521757,-77.781167,Cuba,Daiquiri Cave
25.0/ 2266,1917,Gift,21.521757,-77.781167,Cuba,Daiquiri Cave
25.0/ 2313 A,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2313 B,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2313 C,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2313 D,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2313 E,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2313 F,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2313 I,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2313 J,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2314 B,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2360 A,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2360 B,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2360 C,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2360 D,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2360 E,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2360 F,1919,Exchange,21.521757,-77.781167,Cuba,"Northeast Coast Of Cuba, Baracoa"
25.0/ 2846,1920,Gift,18.971187,-72.285215,Haiti,
25.0/ 2847,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2848,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2849 A,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2849 B,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2849 C,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2850,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2851,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2852,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2853,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2854,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2855,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2856,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2857,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2858,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2859,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2860 A,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2860 B,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2861,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2862,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2863,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2864,1921,Purchase,18.109581,-77.297508,Jamaica,
25.0/ 2879 A,1922,Museum transfer,18.109581,-77.297508,Jamaica,Kingston
25.0/ 2879 B,1922,Museum transfer,18.109581,-77.297508,Jamaica,Kingston
25.0/ 2880 A,1922,Museum transfer,18.109581,-77.297508,Jamaica,Kingston
25.0/ 2880 B,1922,Museum transfer,18.109581,-77.297508,Jamaica,Kingston
25.0/ 2881,1922,Museum transfer,18.109581,-77.297508,Jamaica,Kingston
25.0/ 2882,1922,Museum transfer,18.109581,-77.297508,Jamaica,Kingston
25.0/ 2883,1922,Museum transfer,18.109581,-77.297508,Jamaica,Kingston
25.0/ 2884,1922,Museum transfer,18.109581,-77.297508,Jamaica,Kingston
25.0/ 2885,1922,Museum transfer,12.865416,-85.207229,Nicaragua,Great Corn Island
25.0/ 2886,1923,Gift,0,0,,Santo Domingo
25.0/ 2887,1924,Gift,13.193887,-59.543198,Barbados,
25.0/ 2888,1924,Gift,13.193887,-59.543198,Barbados,
25.0/ 2889,1924,Gift,13.193887,-59.543198,Barbados,
26 / 936,1957,Exchange,21.521757,-77.781167,Cuba,
26 / 937 A,1957,Exchange,21.521757,-77.781167,Cuba,
26 / 937 B,1957,Exchange,21.521757,-77.781167,Cuba,
26 / 938,1957,Exchange,21.521757,-77.781167,Cuba,
26 / 939,1957,Exchange,21.521757,-77.781167,Cuba,
26 / 940,1957,Exchange,21.521757,-77.781167,Cuba,
26 / 941,1957,Exchange,21.521757,-77.781167,Cuba,
30 / 4,1896,Gift,15.783471,-90.230759,Guatemala,Tikal
30 / 50,,,23.634501,-102.552784,Mexico,
30 / 53,1896,,0,0,,
30 / 54,1896,,0,0,,
30 / 55,1896,,0,0,,
30 / 57,1896,,0,0,,
30 / 58,1896,,0,0,,
30 / 59,1896,,0,0,,
30 / 60,1896,,0,0,,
30 / 61,1896,,0,0,,
30 / 62 *,1896,,0,0,,
