text,count
"BELLA BELLA (HEILTSUK)/ BELLA COOLA (NUXALK) FACIAL PAINTING, RAVEN",3
"TLINGIT CREST STAMPS, FACIAL PAINTING FOR DANCES, RAVEN'S WING",3
"""WHALE""",3
RATTLE,3
PADDLE,3
KWAN YIN?,3
WAR GOD ?,3
NAGESVARARAJA,3
YAMA AND YAMI,3
SRIDPA'I KORLO (HOROSCOPE),3
KUAN TI,3
KWAN YIN,3
TAOISTIC DEITY?,3
RITUAL DAGGER,3
ARHAT VAJRIPUTRA,3
VAJRAPANI ?,3
AKASAGARBHA,3
MANJUSRI ?,3
ATISA,3
KALACAKRA AND CONSORT,3
LALITAVAJRA,3
WHEEL OF THE LAW,3
AMULET BOX WITH FIGURE,3
FISH-SHAPED,3
FIST SHAPE,3
DRAGON DESIGN,3
RAMAYANA,3
LION,3
SKULLS,3
JAGANATH,3
HINDU DEITIES,3
FOLIAGE,3
SNAIL (KAB QWJ) MOTIF,3
FLOWERS AND PLANTS IN MADAME SINH'S GARDEN,3
SOUP SPOON,3
BED,3
TROUSERS,3
CLOTHING,3
CIRCLES,3
"ELONGATED, TRIANGULAR",3
"WOODEN BENTO-BAKO, HINOKI-BENTO",3
"GOD OF GOOD FORTUNE, ANIMAL HEAD",3
KNIFE,3
FLORAL MOTIFS,3
GEOMETRIC PATTERNS; FLORAL AND HEART PATTERNS,3
"MEDALLIONS, FLORAL MOTIFS",3
BLACK PAPER HAT,3
CRANE AND TREE,3
GOLD VINE DECORATION,3
FLORAL AND PAISLEY,3
CONTEMPORARY DESIGNS,3
SEATED MALE,3
OMA (FATHER OF THE WIND OR DEMON OF THE WIND),3
GEOMETRICAL DESIGNS,3
HAND HOLDING CROSS,3
STRIPED MOTIF,3
PLANT MOTIF,3
STYLIZED ANIMALS,3
ZIG-ZAG MOTIF,3
"STEPPED FRET, ZIG-ZAG PATTERN, ZEBRA BRAIDED CORD",3
MYTHOLOGICAL FIGURES,3
MYTHICAL FLYING FIGURES WITH TROPHY HEADS,3
"STEPPED FRET, ZIG-ZAG PATTERN",3
STYLIZED ANIMAL MOTIF?,3
"ROW OF SEATED ANTHROPOMORPHIC OR ANIMAL, POSSIBLY MONKEY, RECTANGLES OF COLORS",3
STYLIZED FACES AND BIRDS?,3
STAR MOTIF,3
ANIMAL AND GEOMETRIC MOTIFS,3
"MONOCHROME MAINFIELD WITH PATTERN CREATED BY GAUZE, FISH AND BIRD MOTIF, STRIPES",3
MONKEYS,3
STYLIZED HUMAN FIGURE,3
DOUBLE-HEADED BIRDS,3
MUTICOLORED,3
ROW OF STYLIZED BIRDS,3
FELINE MOTIF,3
BIRD AND HUMAN FIGURAL MOTIFS,3
STEPPED FRET AND KEY MOTIFS,3
GEOMETRICIZED BIRD MOTIF,3
SQUARE AND BAR MOTIF,3
GEOMETRIC AND ANIMAL MOTIFS,3
S MOTIF,3
"BIRD MOTIF, SERRATED SCROLL BORDER",3
BIRD MOTIF ON DIAGONAL BARS,3
BIRD MOTIFS IN SQUARE FIELDS,3
CAT FIGURES,3
"MONOCHROME, ONE BLACK STRIPE NEAR OPENING",3
GEOMETRIC PATTERNING,3
HOODED HUMAN MOTIF,3
PLAID MOTIF,3
"STANDING BIRDS, SCROLL MOTIF",3
STANDING HUMANS AND BIRD MOTIFS,3
LLAMA AND SUN MOTIFS,3
LARGE AREAS OF STEPPED FRETS,3
SQUARE MOTIF,3
ROW OF BIRDS BETWEEN STRIPES AND A ROW OF STYLIZED FEATHERS AT THE BOTTOM,3
GROTESQUE FIGURES,3
"THREE-DIMENSIONAL BIRD, PROTRUDING STICK ACTS AS A HANDLE",3
GROUP OF FEATHERS,3
ORNAMENT IN THE SHAPE OF A BIRD,3
HUMAN FIGURES AND HUMAN HEADS,3
DOUBLE HEADED BIRDS BETWEEN STRIPES,3
PATTERN OF BIRDS AND INTERLOCKING TRIANGLES,3
STYLIZED BIRDS IN SQUARES MOTIF,3
FISH MOTIF IN ALTERNATING COLORS,3
HOUSE GOD,3
PYRAMID,3
FISH FIGURE,3
BAYANNI DEITY,3
QUETZALCOATL,3
WOMAN AND CHILD,3
FOOT WITH SANDAL,3
"EARSPOOL, EAR ORNAMENT",3
HUMAN HEAD AND NECK,3
STONE BEAD,3
"LIP PLUG, LABRET",3
"AXE, CHISEL",3
SPINDLE WHORLS,3
ANIMALS HEAD,3
HEAD?,3
HUMAN-LIKE FIGURES,3
HUMAN FOOT,3
DOG'S HEAD,3
EAR OF CORN,3
"HUMAN FIGURE, AMULET",3
PUMA,3
GROTESQUE ANIMAL FIGURE,3
FROG FIGURE,3
ANIMAL?,3
MONKEY HEADS,3
VEGETABLE,3
HUMAN HEAD AND HEADDRESS,3
YOKE,3
"ANIMAL HEADS, DESIGN",3
BAND,3
CLAY JAR,3
CLAY BOWL,3
HEAD OF DOG,3
DUCK HEAD,3
HORIZONTAL LINES,3
ZOOMORPH,3
SEATED HUMAN,3
SCORPION,3
CLAW,3
GLYPHS,3
FROG HEAD,3
TLALOC FACE,3
MAYAN STYLE FIGURINE,3
HEADS WITH WRINKLED FACES,3
"KNEELING FIGURE, BRAIDED PANEL",3
MONKEY DESIGN,3
DANCERS,3
"HEAD, UPPER TORSO",3
TLOLOC,3
HUMAN FEMALE PREGNANT,3
HUMAN PREGNANT FEMALE,3
SKIRT,3
HUMAN MALE,3
"FEMALE TORSO, LEG",3
HUMAN BREAST,3
LEG OR ARM,3
HUMAN HEAD AND BREAST,3
SEATED HUMAN BODY,3
SHOULDERS,3
DOG?,3
"COMPLETE RIM, NARROW MOUTH JARS",3
IN FORM OF OWL,3
DEER HEAD,3
EHECATL,3
EAR,3
MUSICIAN,3
GOD,3
"GOZNE, BODY",3
"GOZNE, HEAD",3
"HEAD, CHEST",3
"HEAD, FAT GOD",3
HEAD-DOG,3
"HEAD, ORNATE HEADDRESS",3
CHEST,3
"BODY, CARRYING CHILD",3
"BODY, CARRYING CHILD FIGURINES",3
"BODY, TASSEL SKIRT",3
DOLL?,3
PREGNANT BODY,3
MONKEY GOD,3
CHAIR,3
ANIMAL LEG,3
"SERPENT HEAD, OPEN MOUTHED",3
HUMAN (SEATED) FIGURE,3
"HUMAN FIGURE, P TYPE",3
"HUMAN, FOREHEAD",3
HUMAN FACE?,3
"SPINDLE WHORL, HUMAN FIGURE",3
MONKEY FIGURE,3
"HUMAN, HEAD, FIGURINE, MOLD-MADE",3
TIGER FACE,3
SCROLL,3
FIGURINE SEATED LOWER PORTION MISSING,3
"STANDING FIGURE, HANDS ON CHEST",3
"HUMAN HEAD, FIGURINE",3
CROSS DESIGN,3
HEAD OF MAN,3
ARM & HAND,3
ANIMAL FIGURINE,3
FRESCO FRAGMENT,3
HUMAN EFFIGY VESSEL,3
SERPENT TATE IPOU; ZIGZAG REP. DOUBLE WATER GOURDS,3
"PLANT W STALK, LEAVES & FLOWERS",3
FIRE STEEL,3
MAN LEANING FORWARD,3
MAN BEING EATEN BY CROCODILE?,2
HUMAN FIGURE?,2
ZIGZAG,2
SNAKE?,2
CONCENTRIC DIAMONDS,2
MAN AND CROCODILE?,2
DOUBLE SCROLL,2
GRASSHOPPER,2
TRADITIONAL SAMOAN OBJECTS,2
FISH?,2
"TITLE ""PIAHLHÄUSER ; PORT MORESBY""",2
"TITLE ""HAUS; TSCHAS""",2
"TITLE ""HAUS; DUAU""",2
"TITLE ""HAUS; FINSCHHAFEN""",2
"TITLE ""AHNENFIGUR; FINSCHHAFEN""",2
"TITLE ""FESTHAUS; MATUPI, NEU POMMERN""",2
"TITLE ""GEMEINDHAUS; BUTARITARII""",2
"TITLE ""RIESENMAUER; KUSCHAI""",2
"TITLE ""KANU; DUAU""",2
"TITLE ""KANU; HANSEMANNKÜSTE""",2
"TITLE ""KANU; FINSCHKÜSTE""",2
"TITLE ""HOCHSEEKANU; DSCHALUT""",2
"TITLE ""TÄTOWIRUNG; NJUA""",2
"TITLE ""TÄTOWIRUNG. (FRAU)""",2
"TITLE ""TÄTOWIRUNG. HÄUPTLING; DSCHALUT""",2
"TITLE ""MOTUMOTU; FRISCHWASSERBAI. HÄUPTILNG""",2
"TITLE ""KOIÄRI; ASTROLABE GEB""""",2
"TITLE ""FRIEDRICH-WILHELMHAFEN""",2
"TITLE ""BARTSCHMUCK; HANSEMANNKÜSTE. HÄUPTLING""",2
"TITLE ""NUSA; NEU MECKLENBURG""",2
PANTHER?,2
BEAR?,2
WOLF?,2
ANIMAL SHAPE,2
"REPRESENTING THE CREST OF THE OWNER, THE MOON",2
REPRESENTING ORCA,2
BEAVER DESIGN,2
"HAWK, FROG, KAKAHETE",2
BEAVER?,2
PUFFIN,2
FIN OF ORCA,2
REPRESENTING DANCING HAIDA MEDICINE MAN,2
"BEAVER, BEAR, RAVEN",2
UPRIGHT BEAVER,2
POTLATCH RINGS,2
KINGFISHER,2
ASSISTANT OF ELAXO'LELA,2
GROUSE,2
WASP,2
Q'O'MOGOA,2
PORCUPINE,2
DIVER,2
NET DESIGN,2
ANTHROPOMORPHIC FACE,2
ARROWHEAD PATTERN,2
"NETS'ENOX, WHO CAUGHT OCTOPUS",2
EVENING SKY,2
SNAKE DESIGN,2
SEA EAGLE,2
XWA'ENOE,2
"HUXWHUKW (BIRD ATTENDANT OF ""CANNIBAL-OF-THE-NORTH-END-OF-THE-WORLD"")",2
CHILDREN OF NO'TEMG.ILA GHOST (16/8427),2
BLACK WHALE,2
KILLER WHALE AND HUMAN FIGURE,2
GHOST,2
BUTTERFLY PATTERN,2
DIVING BIRD,2
CROW,2
FROGS,2
BOILING WORDS,2
HUMMINGBIRD,2
BEAK,2
REPRESENTS BIRD,2
REPRESENTS BEAR MAN,2
