text,count
"HIDE, BEADS, THREAD, SINEW",34
"PLANT FIBER, PIGMENT, STRING",34
BEADS,34
"IVORY, WOOD",34
"CLAY, STONE",34
"METAL, CORD",34
"CLAY (PORCELAIN), GLAZE",34
"HIDE (LEATHER), METAL",34
"HIDE (GOAT), PIGMENT, BAMBOO, STRING, CLOTH",34
"WOOD (PALM), BAMBOO, STRING, BARK, FEATHER, RESIN",34
PLANT FIBER (CHAMBIRA PALM),34
"CANE, FEATHER, STRING, BEESWAX, WOOD",34
"CERAMIC, COATING, PIGMENT",34
"WOOD, METAL (IRON, BRASS), COATING",34
"WOOD, HIDE, COATING",34
"HIDE, DYE",34
"WOOD, METAL, LEAF",34
"METAL (BRASS, LEAD)",34
"FEATHER, WOOD",33
PLANT SHELL?,33
"WOOD, METAL, CORD",33
"CANE, WOOD, PLANT FIBER, PIGMENT (PAINT)",33
"WOOD, SINEW, PIGMENT",33
"CARDBOARD, PAPER, INK",33
FEATHER (PARROT),33
"HIDE, FUR (CARIBOU), SINEW",33
BARK (RED CEDAR),33
"HIDE, CLOTH, THREAD",33
"PAPER, INK, PAINT (WATERCOLOR)",33
"CLOTH (SILK, COTTON)",33
PLANT (RATTAN),33
"CLOTH (COTTON), THREAD (COTTON)",33
"PAPER (MULBERRY), THREAD (SILK)",33
"CLOTH (SILK), YARN (METALLIC)",33
"WOOD, CORD, STAIN",33
BARK CLOTH,32
"STONE, WOOD, PLANT FIBER",32
SHELL (MUSSEL),32
"BARK, WOOD, PIGMENT",32
"WOOD, PIGMENT, BARK",32
PLANT FIBER (HEMP),32
"BEAD, PLANT FIBER",32
"CANE, BAMBOO",32
"HIDE, FUR, PIGMENT",32
"BEADS, THREAD",32
"WOOD, HIDE, BONE",32
"CLOTH (WOOL), BEAD",32
"METAL (BRASS), CORD",32
"PAPER, PIGMENT, GILT, SILVERLEAF",32
"WOOD, METAL, PLANT FIBER, COATING",32
"WOOD, METAL, FEATHER, PLANT FIBER, SINEW, DYE",32
"CLAY, RED AND BLACK PIGMENT",32
"CANE, WOOD, PIGMENT, PLANT FIBER",31
"BONE, WOOD",31
"HIDE, CLOTH, BEADS, THREAD",31
"PLANT FIBER, TWIGS, HIDE",31
"WOOD, METAL (IRON), HIDE",31
"CLOTH (COTTON), FEATHER",31
"METAL, WOOD, COATING",31
FABRIC,31
"MINERAL (STONE), JADEITE",31
STONE (NEPHRITE),30
"CANE, PIGMENT",30
CHARCOAL,30
PLANT FIBER (PALM LEAF),30
PLANT,30
HORN (BUFFALO),30
"PAPER, BAMBOO, PIGMENT, STRING, MASKING TAPE (MODERN), METAL (MODERN)",30
"CLOTH, SILK, PIGMENT, THREAD, WOOD, CORD",30
